,country,chistians,muslims,unaffiliated,hindus,buddhists,folkReligions,other,jews,happinessRank,score,pop2021
0,Afghanistan,30000,31330000,5000,10000,5000,5000,20000,5000,153,2.567,39835428.0
1,Albania,580000,2570000,50000,5000,5000,5000,5000,5000,105,4.883,2872933.0
2,Algeria,60000,34730000,660000,5000,5000,10000,5000,5000,100,5.005,44616624.0
3,Argentina,34420000,400000,4920000,5000,20000,330000,120000,200000,55,5.975,45605826.0
4,Armenia,3050000,5000,40000,5000,5000,5000,5000,5000,116,4.677,2968127.0
5,Australia,14980000,540000,5390000,310000,600000,150000,180000,110000,12,7.223,25788215.0
6,Austria,6750000,450000,1130000,5000,20000,5000,10000,10000,9,7.294,9043070.0
7,Azerbaijan,280000,8900000,5000,5000,5000,5000,5000,5000,89,5.165,10223342.0
8,Bahrain,180000,890000,20000,120000,30000,5000,5000,5000,40,6.227,1748296.0
9,Bangladesh,450000,134430000,5000,12680000,920000,100000,100000,5000,107,4.833,166303498.0
10,Belarus,6830000,20000,2740000,5000,5000,5000,5000,5000,75,5.54,9442862.0
11,Belgium,6880000,630000,3110000,5000,30000,20000,10000,30000,20,6.864,11632326.0
12,Benin,4690000,2110000,450000,5000,5000,1600000,5000,5000,86,5.216,12451040.0
13,Bolivia,9330000,5000,400000,5000,5000,90000,100000,5000,65,5.747,11832940.0
14,Bosnia and Herzegovina,1970000,1700000,90000,5000,5000,5000,5000,5000,69,5.674,3263466.0
15,Botswana,1450000,5000,410000,5000,5000,120000,10000,5000,147,3.479,2397241.0
16,Brazil,173300000,40000,15410000,5000,250000,5540000,300000,110000,32,6.376,213993437.0
17,Bulgaria,6150000,1020000,310000,5000,5000,5000,5000,5000,96,5.102,6896663.0
18,Burkina Faso,3710000,10150000,70000,5000,5000,2530000,5000,5000,112,4.769,21497096.0
19,Burundi,7670000,230000,5000,5000,5000,480000,5000,5000,140,3.775,12255433.0
20,Cambodia,50000,280000,30000,5000,13690000,80000,5000,5000,106,4.848,16946438.0
21,Cameroon,13780000,3590000,1050000,5000,5000,650000,530000,5000,98,5.085,27224265.0
22,Canada,23470000,710000,8050000,470000,280000,390000,300000,350000,11,7.232,38067903.0
23,Central African Republic,3940000,370000,40000,5000,5000,40000,5000,5000,149,3.476,4919981.0
24,Chad,4560000,6210000,280000,5000,5000,160000,20000,5000,127,4.423,16914985.0
25,Chile,15300000,5000,1470000,5000,10000,260000,30000,20000,39,6.228,19212361.0
26,China,68410000,24690000,700680000,20000,244110000,294300000,9080000,5000,94,5.124,1444216107.0
27,Colombia,42810000,10000,3050000,5000,5000,370000,40000,5000,44,6.163,51265844.0
28,Comoros,5000,720000,5000,5000,5000,5000,5000,5000,134,4.289,888451.0
29,Costa Rica,4230000,5000,370000,5000,5000,40000,10000,5000,15,7.121,5139052.0
30,Croatia,4110000,60000,230000,5000,5000,5000,5000,5000,79,5.505,4081651.0
31,Cyprus,810000,280000,10000,5000,5000,5000,5000,5000,45,6.159,1215584.0
32,Czech Republic,2450000,5000,8020000,5000,5000,5000,5000,5000,19,6.911,10724555.0
33,Denmark,4630000,230000,650000,20000,10000,5000,5000,5000,2,7.646,5813298.0
34,Dominican Republic,8740000,5000,1080000,5000,5000,90000,10000,5000,68,5.689,10953703.0
35,DR Congo,63210000,970000,1170000,30000,5000,490000,100000,5000,131,4.311,92377993.0
36,Ecuador,13610000,5000,800000,5000,5000,40000,5000,5000,58,5.925,17888475.0
37,Egypt,4120000,76990000,5000,5000,5000,5000,5000,5000,138,4.151,104258327.0
38,El Salvador,5460000,5000,680000,5000,5000,30000,20000,5000,34,6.348,6518499.0
39,Estonia,540000,5000,800000,5000,5000,5000,5000,5000,51,6.022,1325185.0
40,Ethiopia,52070000,28680000,50000,5000,5000,2130000,5000,5000,136,4.186,117876227.0
